SALEM,A.C.HOSPITAL,"104,2ND AGRAHARAM,NEAR OLD BUS STAND",636001
COIMBATORE,A.G.HOSPITAL,"34, KPN COLONY 3RD STREET,",641601
PONDICHERRY,A.G.PADMAVATHI'S HOSPITAL LTD,"#12 VICTORIYA NAGAR,ELLAIPILLAI CHAVADY",605005
TRIVANDRUM,A.J.HOSPITAL,KAZHAKUTTOM,695582
MANGALORE,A.J.HOSPITAL & RESEARCH CENTRE,"KUNTIKANA,MANGALORE-UDUPI HIGHWAY",575004
ALIGARH,A.K.G.SURGICAL CENTRE,"# 225, AVAS VIKAS COLONY, MASOODABAD CHOURAHA, G.T.ROAD, ALIGARH",202001
CHENNAI,A.K.HOSPITAL,"# 360, POONMALLE HIGH ROAD, AMINJIKKARAI",600029
CHENNAI,A.K.N.NURSING HOME,"#20, KELLYS ROAD, NEAR KELLYS TELEPHINE EXCHANGE,KILPAUK",600010
BANGALORE,A.M. HOSPITAL,"#20/1, 2nd CROSS, WIDIA LAYOUT, CHANDRA LAYOUT MN .RD, OPPOSITE FINE FOUIR",560040
COCHIN,A.M.HOSPITAL,"N.H. 47, KARUNAGAPALLY",690518
VIZAG,A.N.BEACH HOSPITAL,"15-9-13/24, BEACH ROAD,KRISHNANAGAR, MAHARANIPETA,HAWAMAHAL.",530002
CHENNAI,A.N.N.HOSPITAL,"81-85,ANNAI THERASA STREET,VALASARAVAKKAM",600087
AMRITSAR,A.P.HOSPITAL,"AJITNAGAR CHOWK,NEAR SULTAN WIND WATER TANK",143001
ERNAKULAM,A.P.VARKEY MISSION HOSPITAL,ARAKUNNAM P.O. THOTTAPADY.,682313
MADURAI,A.R.HOSPITAL ,"609, K.K.NAGAR,",625020
MUMBAI,A.U.S.CLINIC & LITHOTRIPSY CENTRE,"ARUN CHAMBERS, TARDEO",400034
MARGAO,A.V.DA COSTA HOSPITAL,"P-602,FATORDA SALCETE,NEXT TO FATORDA STADIUM, MARGAO",403601
BANGALORE,A.V.HOSPITAL,"9, PATALAMMA TEMPLE STREET, BASAVANAGUDI",560004
CHENNAI,A.V.HOSPITALS,"# 172, SOLAIAPPAN STREET, NEAR MAHARANI THEATRE, MANNADY",600001
TUTICORIN,A.V.M.HOSPITAL A.V.M.M.ASSOCIATES P) LTD,"# 135, PALAYAMKOTTAI ROAD, TUTICORIN.",628003
SINDHUDURGA,AABU TAYSHETE MEMORIAL HOSPITAL,POST KANKERI DIST,416602
BELGAUM,AADHAR HOSPITAL,"COURT ROAD,CHAVATGALLI",590002
KOLHAPUR,AADHAR NURSING HOME ( PRERANA NURSING HOME),"2811/K, B WARD,BELBAUG,MANGALWAR PETH,KOLHAPUR,MAHARSHTRA MANGALWAR PETH",416612
SANGLI,AADITYA HOSPITAL,MAIN CHOWK VISHRAMBAG,416415
AHMEDABAD,AADYA ENT HOSPITAL,"SHIVAM COMPLEX, JANATA CHAMBER, SAIJPUR TOWER.",380045
AHMEDABAD,AADYA EYE HOSPITAL GENERAL HOSPITAL),"25 JANATH CHAMBER,SAJPUR TOWER, NEAR ANAND SURGICAL, NARODA ROAD",382345
